date,gold_inr_per_10g_landed,gold_inr_change,gold_usd_change,usdinr_change,duty_change_pp
2004-01-06,6491.623628743425,-0.1861,-0.377,0.18,0.0
2004-01-07,6456.469677284608,-0.5415,-0.2129,-0.36,0.0
2004-01-08,6498.154987691673,0.6456,0.4977,0.18,0.0
2004-01-09,6517.199628634426,0.2931,0.566,-0.26,0.0
2004-01-12,6514.782066662491,-0.0371,-0.0235,-0.02,0.0
2004-01-13,6472.6553399985605,-0.6466,-0.6099,-0.07,0.0
2004-01-14,6445.552037587951,-0.4187,-0.472,0.03,0.0
2004-01-15,6254.484519228881,-2.9643,-3.1539,0.05,0.0
2004-01-16,6226.560793341963,-0.4465,-0.4163,-0.05,0.0
2004-01-20,6314.392524338667,1.4106,1.4753,0.01,0.0
2004-01-21,6288.29959661832,-0.4132,-0.3877,-0.05,0.0
2004-01-22,6274.12177075191,-0.2255,-0.2676,0.03,0.0
2004-01-23,6233.424570300609,-0.6487,-0.5122,-0.17,0.0
2004-01-26,6212.29249440518,-0.339,-0.3187,-0.04,0.0
2004-01-27,6267.530973190599,0.8892,0.8362,0.1,0.0
2004-01-28,6330.62929153473,1.0067,1.0976,-0.04,0.0
2004-01-29,6100.149006869399,-3.6407,-3.8601,0.04,0.0
2004-01-30,6119.476907710148,0.3168,0.9285,-0.59,0.0
2004-02-02,6090.754335450566,-0.4694,-0.8702,0.38,0.0
2004-02-03,6102.2519089334555,0.1888,0.1254,0.07,0.0
2004-02-04,6128.543042792424,0.4308,0.4509,0.0,0.0
2004-02-05,6086.007808180927,-0.6941,-0.7232,-0.01,0.0
2004-02-06,6161.013963083936,1.2324,1.3816,-0.08,0.0
2004-02-09,6210.6227899046935,0.8052,0.7929,0.05,0.0
2004-02-10,6203.765349646647,-0.1104,-0.0983,-0.02,0.0
2004-02-11,6259.495889191419,0.8983,0.935,0.01,0.0
2004-02-12,6311.94105723982,0.8378,0.8532,0.03,0.0
2004-02-13,6283.901440649078,-0.4442,-0.8219,0.36,0.0
2004-02-17,6345.364771611817,0.9781,1.3892,-0.36,0.0
2004-02-18,6287.618658242504,-0.9101,-0.8894,-0.07,0.0
2004-02-19,6254.47481742063,-0.5271,-0.6064,0.05,0.0
2004-02-20,6072.814336053709,-2.9045,-3.0015,-0.05,0.0
2004-02-23,6094.7267520114765,0.3608,0.3774,0.0,0.0
2004-02-24,6179.806043794833,1.3959,1.3784,0.09,0.0
2004-02-25,6050.034103731808,-2.0999,-2.1508,-0.06,0.0
2004-02-26,6047.743359666997,-0.0379,0.0,-0.04,0.0
2004-02-27,6060.0250085761445,0.2031,0.1516,0.06,0.0
2004-03-01,6099.211819446085,0.6466,0.7316,-0.05,0.0
2004-03-02,6015.735153999606,-1.3686,-1.4525,0.01,0.0
2004-03-03,5996.098613719081,-0.3264,-0.2795,-0.06,0.0
2004-03-04,6013.335753183777,0.2875,0.1274,0.17,0.0
2004-03-05,6130.451845375148,1.9476,2.1379,-0.09,0.0
2004-03-08,6118.994131853411,-0.1869,-0.1744,-0.02,0.0
2004-03-09,6164.659284214639,0.7463,0.8987,-0.11,0.0
2004-03-10,6101.147929933026,-1.0302,-1.0391,-0.04,0.0
2004-03-11,6120.961818895647,0.3248,0.175,0.17,0.0
2004-03-12,6040.863991378884,-1.3086,-1.3476,-0.03,0.0
2004-03-15,6100.278744508164,0.9835,1.0372,0.0,0.0
2004-03-16,6141.129334144645,0.6697,0.7511,-0.05,0.0
2004-03-17,6209.328599008281,1.1105,1.1183,0.05,0.0
2004-03-18,6267.5489584331535,0.9376,1.0322,-0.05,0.0
2004-03-19,6279.913856299936,0.1973,0.3405,-0.13,0.0
2004-03-22,6348.532139133103,1.0927,1.1879,-0.04,0.0
2004-03-23,6347.948954140365,-0.0092,0.575,-0.58,0.0
2004-03-24,6289.834908182364,-0.9155,-0.6193,-0.34,0.0
2004-03-25,6283.058501606117,-0.1077,-0.1198,0.01,0.0
2004-03-26,6338.743721872829,0.8863,1.2959,-0.36,0.0
2004-03-29,6197.747223784908,-2.2244,-1.1846,-1.16,0.0
2004-03-30,6240.149024708889,0.6841,1.1029,-0.38,0.0
2004-03-31,6253.226329685913,0.2096,1.328,-1.09,0.0
2004-04-01,6265.556718870718,0.1972,0.117,0.09,0.0
2004-04-02,6223.423598109188,-0.6725,-1.4493,0.75,0.0
2004-04-05,6118.685120222508,-1.683,-1.4706,-0.3,0.0
2004-04-06,6175.79154866491,0.9333,0.8426,0.14,0.0
2004-04-07,6196.920439755949,0.3421,0.931,-0.57,0.0
2004-04-08,6175.9136029903475,-0.339,-0.6859,0.33,0.0
2004-04-13,6009.789675394735,-2.6899,-3.0722,0.25,0.0
2004-04-14,5913.022834768146,-1.6102,-1.769,0.08,0.0
2004-04-15,5901.4408670228795,-0.1959,-0.5253,0.32,0.0
2004-04-16,5937.734993397093,0.615,0.8298,-0.18,0.0
2004-04-19,5939.968053123671,0.0376,-0.0997,0.14,0.0
2004-04-20,5909.112848275881,-0.5195,-0.7239,0.18,0.0
2004-04-21,5826.119071767044,-1.4045,-1.735,0.26,0.0
2004-04-22,5856.033192266482,0.5134,0.6397,-0.1,0.0
2004-04-23,5903.056449404341,0.803,0.4577,0.39,0.0
2004-04-26,5903.087611637418,0.0005,0.2278,-0.23,0.0
2004-04-27,5947.949237042785,0.76,0.6566,0.14,0.0
2004-04-28,5765.125063954116,-3.0737,-3.3116,0.08,0.0
2004-04-29,5808.6166395699765,0.7544,0.3114,0.48,0.0
2004-04-30,5809.9613077415515,0.0231,0.1035,-0.08,0.0
2004-05-03,5810.956621968005,0.0171,0.0,0.02,0.0
2004-05-04,5933.638246796291,2.1112,1.1369,1.08,0.0
2004-05-05,5936.243714072588,0.0439,0.511,-0.46,0.0
2004-05-06,5862.370813318148,-1.2444,-1.3726,0.06,0.0
2004-05-07,5721.862354167502,-2.3968,-2.3969,-0.13,0.0
2004-05-10,5769.772564889671,0.8373,-0.1056,0.99,0.0
